"('M0001', Decimal('1980'), Decimal('1'), Decimal('32'), Decimal('15.5'), Decimal('8.0'), Decimal('8.8'), Decimal('13.9'), Decimal('10.2'), Decimal('8.7'), Decimal('12.7'), Decimal('10.1'), Decimal('12.2'), Decimal('0.0'), Decimal('17.9'), Decimal('220.00'), Decimal('0.00'), Decimal('0.00'), Decimal('20.00'), Decimal('280.00'), Decimal('0.00'), Decimal('9'), Decimal('8'), Decimal('9'), 'C', Decimal('0.0'), 'SE', Decimal('2.0'), 'C', Decimal('0.0'), Decimal('855855'), Decimal('856179'), Decimal('856534'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('2'), Decimal('32'), Decimal('15.1'), Decimal('6.5'), Decimal('8.7'), Decimal('13.3'), Decimal('9.6'), Decimal('7.2'), Decimal('12.2'), Decimal('9.1'), Decimal('0.3'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('14.60'), Decimal('0.00'), Decimal('5.40'), Decimal('0.00'), Decimal('40.00'), Decimal('4'), Decimal('7'), Decimal('9'), 'N', Decimal('1.0'), 'S', Decimal('3.0'), 'C', Decimal('0.0'), Decimal('889949'), Decimal('890540'), Decimal('890854'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('3'), Decimal('32'), Decimal('99.9'), Decimal('7.1'), Decimal('10.2'), Decimal('15.4'), Decimal('9.5'), Decimal('8.6'), Decimal('11.4'), Decimal('9.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('20.00'), Decimal('0.00'), Decimal('0.00'), Decimal('8'), Decimal('6'), Decimal('8'), 'C', Decimal('0.0'), 'N', Decimal('4.0'), 'S', Decimal('2.0'), Decimal('947991'), Decimal('948516'), Decimal('949066'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('4'), Decimal('32'), Decimal('15.1'), Decimal('7.1'), Decimal('8.7'), Decimal('12.1'), Decimal('9.5'), Decimal('7.8'), Decimal('10.6'), Decimal('9.0'), Decimal('24.3'), Decimal('0.0'), Decimal('5.6'), Decimal('380.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('14.00'), Decimal('0.00'), Decimal('8'), Decimal('7'), Decimal('8'), 'N', Decimal('3.0'), 'SE', Decimal('2.0'), 'C', Decimal('0.0'), Decimal('993342'), Decimal('993793'), Decimal('994168'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('5'), Decimal('32'), Decimal('14.8'), Decimal('7.2'), Decimal('8.6'), Decimal('13.2'), Decimal('9.3'), Decimal('7.6'), Decimal('11.6'), Decimal('8.8'), Decimal('0.0'), Decimal('0.1'), Decimal('3.6'), Decimal('0.00'), Decimal('24.80'), Decimal('0.00'), Decimal('4.80'), Decimal('40.00'), Decimal('0.00'), Decimal('5'), Decimal('7'), Decimal('8'), 'SW', Decimal('1.0'), 'E', Decimal('5.0'), 'C', Decimal('0.0'), Decimal('43178'), Decimal('43501'), Decimal('43888'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('6'), Decimal('32'), Decimal('12.7'), Decimal('5.2'), Decimal('6.6'), Decimal('12.5'), Decimal('8.3'), Decimal('6.2'), Decimal('8.6'), Decimal('6.5'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('8.80'), Decimal('0.00'), Decimal('14.40'), Decimal('0.00'), Decimal('20.00'), Decimal('7'), Decimal('7'), Decimal('2'), 'NE', Decimal('1.0'), 'E', Decimal('6.0'), 'NE', Decimal('3.0'), Decimal('105798'), Decimal('106455'), Decimal('107012'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('7'), Decimal('32'), Decimal('13.7'), Decimal('5.2'), Decimal('6.3'), Decimal('11.2'), Decimal('8.6'), Decimal('5.6'), Decimal('7.9'), Decimal('7.1'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('12.40'), Decimal('0.00'), Decimal('10.00'), Decimal('0.00'), Decimal('32.80'), Decimal('7'), Decimal('7'), Decimal('6'), 'NE', Decimal('8.0'), 'E', Decimal('3.0'), 'E', Decimal('1.0'), Decimal('175794'), Decimal('176603'), Decimal('177296'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('8'), Decimal('32'), Decimal('16.5'), Decimal('7.0'), Decimal('6.2'), Decimal('14.8'), Decimal('7.6'), Decimal('5.2'), Decimal('10.3'), Decimal('6.6'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('28.00'), Decimal('0.00'), Decimal('20.16'), Decimal('0.00'), Decimal('40.00'), Decimal('2'), Decimal('7'), Decimal('3'), 'N', Decimal('2.0'), 'E', Decimal('5.0'), 'E', Decimal('3.0'), Decimal('243589'), Decimal('244230'), Decimal('244759'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('9'), Decimal('32'), Decimal('16.8'), Decimal('7.3'), Decimal('8.2'), Decimal('16.2'), Decimal('9.9'), Decimal('8.1'), Decimal('11.0'), Decimal('9.7'), Decimal('0.6'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('27.60'), Decimal('0.00'), Decimal('32.20'), Decimal('9'), Decimal('6'), Decimal('9'), 'NE', Decimal('3.0'), 'NE', Decimal('6.0'), 'SE', Decimal('2.0'), Decimal('303757'), Decimal('304438'), Decimal('304895'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1980'), Decimal('10'), Decimal('32'), Decimal('15.9'), Decimal('7.0'), Decimal('8.5'), Decimal('16.4'), Decimal('9.6'), Decimal('7.8'), Decimal('11.0'), Decimal('9.5'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('20.00'), Decimal('0.00'), Decimal('40.00'), Decimal('0.00'), Decimal('20.00'), Decimal('2'), Decimal('4'), Decimal('9'), 'NW', Decimal('2.0'), 'N', Decimal('2.0'), 'NW', Decimal('2.0'), Decimal('359344'), Decimal('359398'), Decimal('359804'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
